X1	X2	Label
3.0	19.0	1
9.0	13.0	1
19.0	16.0	0
0.0	7.0	1
6.0	3.0	0
11.0	8.0	0
4.0	13.0	1
15.0	7.0	0
3.0	11.0	1
9.0	10.0	0
1.0	14.0	1
13.0	18.0	0
10.0	2.0	0
5.0	15.0	1
9.0	8.0	0
0.0	4.0	1
9.0	14.0	1
11.0	19.0	0
15.0	3.0	0
1.0	6.0	1
8.0	6.0	0
7.0	0.0	0
0.0	3.0	1
10.0	15.0	1
4.0	4.0	1
6.0	7.0	1
15.0	8.0	0
6.0	11.0	1
14.0	8.0	0
13.0	14.0	0
10.0	7.0	0
9.0	7.0	0
1.0	6.0	1
6.0	2.0	0
8.0	7.0	0
2.0	12.0	1
15.0	6.0	0
19.0	17.0	0
3.0	6.0	1
17.0	5.0	0
9.0	1.0	0
17.0	14.0	0
19.0	12.0	0
2.0	6.0	1
3.0	1.0	0
11.0	11.0	0
9.0	6.0	0
13.0	16.0	0
13.0	19.0	0
9.0	5.0	0
15.0	15.0	0
6.0	8.0	1
11.0	0.0	0
14.0	11.0	0
9.0	18.0	1
2.0	10.0	1
12.0	7.0	0
13.0	15.0	0
2.0	0.0	0
0.0	8.0	1
8.0	1.0	0
13.0	11.0	0
0.0	5.0	1
6.0	0.0	0
3.0	7.0	1
0.0	0.0	0
15.0	5.0	0
17.0	16.0	0
6.0	9.0	1
10.0	3.0	0
14.0	6.0	0
8.0	3.0	0
4.0	6.0	1
12.0	13.0	0
13.0	9.0	0
2.0	6.0	1
1.0	7.0	1
18.0	2.0	0
6.0	10.0	1
10.0	17.0	1
18.0	13.0	0
12.0	3.0	0
1.0	0.0	0
1.0	5.0	1
18.0	18.0	0
0.0	5.0	1
3.0	0.0	0
7.0	14.0	1
11.0	6.0	0
11.0	5.0	0
7.0	2.0	0
5.0	5.0	1
19.0	18.0	0
10.0	9.0	0
12.0	5.0	0
4.0	9.0	1
2.0	1.0	0
13.0	10.0	0
4.0	0.0	0
8.0	0.0	0
18.0	5.0	0
0.0	6.0	1
12.0	0.0	0
5.0	8.0	1
7.0	12.0	1
10.0	1.0	0
